2026-04-15 14:03:41,389 | api_understanding_agent | INFO | [APIUnderstandingAgent] Analyzing API spec …
2026-04-15 14:03:41,398 | parser | INFO | Parsing spec: Sample Pet Store API
2026-04-15 14:03:41,399 | parser | INFO | Discovered 8 endpoints
2026-04-15 14:03:47,050 | api_understanding_agent | WARNING | LLM enrichment failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-04-15 14:03:47,054 | api_understanding_agent | INFO | [APIUnderstandingAgent] 8 endpoints understood (provider: openai)
2026-04-15 14:03:47,066 | test_generation_agent | INFO | [TestGenerationAgent] Generating tests for 8 endpoints …
2026-04-15 14:03:50,764 | test_generation_agent | WARNING | LLM creative test generation failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-04-15 14:03:50,768 | test_generation_agent | INFO | [TestGenerationAgent] Generated 56 test cases (provider: openai)
2026-04-15 14:03:50,775 | execution_agent | INFO | [ExecutionAgent] Running 56 test cases …
2026-04-15 14:07:07,684 | api_understanding_agent | INFO | [APIUnderstandingAgent] Analyzing API spec …
2026-04-15 14:07:07,692 | parser | INFO | Parsing spec: Sample Pet Store API
2026-04-15 14:07:07,693 | parser | INFO | Discovered 8 endpoints
2026-04-15 14:07:11,332 | api_understanding_agent | WARNING | LLM enrichment failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-04-15 14:07:11,338 | api_understanding_agent | INFO | [APIUnderstandingAgent] 8 endpoints understood (provider: openai)
2026-04-15 14:07:11,349 | test_generation_agent | INFO | [TestGenerationAgent] Generating tests for 8 endpoints …
2026-04-15 14:07:15,395 | test_generation_agent | WARNING | LLM creative test generation failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-04-15 14:07:15,398 | test_generation_agent | INFO | [TestGenerationAgent] Generated 56 test cases (provider: openai)
2026-04-15 14:07:15,403 | execution_agent | INFO | [ExecutionAgent] Running 56 test cases …
2026-04-15 14:09:07,263 | api_understanding_agent | INFO | [APIUnderstandingAgent] Analyzing API spec …
2026-04-15 14:09:07,271 | parser | INFO | Parsing spec: Sample Pet Store API
2026-04-15 14:09:07,272 | parser | INFO | Discovered 8 endpoints
2026-04-15 14:09:10,578 | api_understanding_agent | WARNING | LLM enrichment failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-04-15 14:09:10,582 | api_understanding_agent | INFO | [APIUnderstandingAgent] 8 endpoints understood (provider: openai)
2026-04-15 14:09:10,599 | test_generation_agent | INFO | [TestGenerationAgent] Generating tests for 8 endpoints …
2026-04-15 14:09:13,861 | test_generation_agent | WARNING | LLM creative test generation failed: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-04-15 14:09:13,865 | test_generation_agent | INFO | [TestGenerationAgent] Generated 56 test cases (provider: openai)
2026-04-15 14:09:13,868 | execution_agent | INFO | [ExecutionAgent] Running 56 test cases ...
2026-04-15 14:09:14,166 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet → 405 (281.2ms)
2026-04-15 14:09:14,194 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet → 405 (310.6ms)
2026-04-15 14:09:14,198 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet → 405 (312.8ms)
2026-04-15 14:09:14,201 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet → 405 (318.0ms)
2026-04-15 14:09:14,202 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet → 405 (329.7ms)
2026-04-15 14:09:14,357 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (188.1ms)
2026-04-15 14:09:14,381 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (184.5ms)
2026-04-15 14:09:14,385 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (181.3ms)
2026-04-15 14:09:14,390 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (185.5ms)
2026-04-15 14:09:14,397 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (196.2ms)
2026-04-15 14:09:14,546 | executor | DEBUG | DELETE https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (187.5ms)
2026-04-15 14:09:14,565 | executor | DEBUG | DELETE https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (178.2ms)
2026-04-15 14:09:14,571 | executor | DEBUG | DELETE https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (179.9ms)
2026-04-15 14:09:14,577 | executor | DEBUG | DELETE https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (194.0ms)
2026-04-15 14:09:14,588 | executor | DEBUG | DELETE https://petstore3.swagger.io/api/v3/pet/{petId} → 400 (190.0ms)
2026-04-15 14:09:14,727 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/findByStatus → 400 (178.9ms)
2026-04-15 14:09:14,744 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/findByStatus → 400 (177.5ms)
2026-04-15 14:09:14,760 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/findByStatus → 400 (184.9ms)
2026-04-15 14:09:14,763 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/findByStatus → 400 (183.8ms)
2026-04-15 14:09:14,787 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/pet/findByStatus → 400 (196.2ms)
2026-04-15 14:09:14,910 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/store/inventory → 500 (180.7ms)
2026-04-15 14:09:14,928 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/store/inventory → 500 (181.9ms)
2026-04-15 14:09:14,954 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/store/inventory → 500 (192.2ms)
2026-04-15 14:09:14,960 | executor | DEBUG | GET https://petstore3.swagger.io/api/v3/store/inventory → 500 (195.6ms)
